,Team,Sport,Event,Medal,Age,Height,Weight,Cluster
29069,West Germany,Alpine Skiing,Alpine Skiing Men's Slalom,Silver,28.0,176.0,77.0,4
29070,Poland,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,23.0,181.0,77.0,4
29071,United States,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,22.0,180.0,75.0,2
29072,United States,Fencing,"Fencing Men's Sabre, Team",Bronze,33.0,173.0,70.0,7
29073,Australia,Archery,Archery Men's Team,Bronze,25.0,174.0,60.0,7
29074,Canada,Rowing,Rowing Women's Coxless Fours,Gold,32.0,177.0,72.0,1
29075,Canada,Rowing,Rowing Women's Coxed Eights,Gold,32.0,177.0,72.0,1
29076,Canada,Speed Skating,Speed Skating Men's 500 metres,Silver,21.0,190.0,85.0,4
29077,United States,Athletics,Athletics Men's 800 metres,Gold,22.0,183.0,66.0,2
29078,Germany-1,Figure Skating,Figure Skating Mixed Pairs,Bronze,24.0,150.0,40.0,7
29079,Netherlands,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,28.0,203.0,92.0,8
29080,Poland,Fencing,"Fencing Men's Foil, Team",Silver,25.0,168.0,63.0,4
29081,Poland,Fencing,"Fencing Men's Foil, Team",Bronze,29.0,168.0,63.0,7
29082,Poland,Fencing,"Fencing Men's Foil, Individual",Gold,33.0,168.0,63.0,1
29083,Poland,Fencing,"Fencing Men's Foil, Team",Gold,33.0,168.0,63.0,1
29084,United States,Fencing,"Fencing Women's Sabre, Team",Bronze,28.0,173.0,81.0,7
29085,Poland,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze,20.0,173.0,61.0,7
29086,Poland,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Silver,24.0,173.0,61.0,4
29087,Poland,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze,27.0,171.0,90.0,7
29088,United States,Water Polo,Water Polo Men's Water Polo,Silver,31.0,191.0,89.0,0
29089,Australia,Softball,Softball Women's Softball,Bronze,27.0,170.0,63.0,7
29090,United States,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,21.0,173.0,59.0,0
29091,Canada,Athletics,Athletics Women's 4 x 400 metres Relay,Silver,24.0,163.0,56.0,4
29092,New Zealand,Rowing,Rowing Men's Coxed Fours,Bronze,26.0,189.0,90.0,3
29093,United States,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,21.0,173.0,70.0,2
29094,United States,Athletics,Athletics Men's Pole Vault,Silver,22.0,170.0,69.0,0
29095,Great Britain-2,Badminton,Badminton Mixed Doubles,Bronze,27.0,171.0,68.0,7
29096,United States,Diving,Diving Men's Springboard,Gold,24.0,170.0,70.0,2
29097,United States,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Silver,24.0,176.0,68.0,0
29098,United States,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Gold,27.0,176.0,68.0,2
