,Team,Sport,Event,Medal,Age,Height,Weight
11311,Norway,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold,24.0,165.0,78.0
11312,United States,Baseball,Baseball Men's Baseball,Gold,27.0,190.0,92.0
11313,Denmark,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver,27.0,176.0,75.0
11314,Denmark,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,27.0,176.0,75.0
11315,Denmark,Football,Football Men's Football,Silver,26.0,175.0,68.0
11316,Denmark,Sailing,Sailing Mixed Three Person Keelboat,Gold,32.0,183.0,78.0
11317,Denmark,Sailing,Sailing Mixed Three Person Keelboat,Gold,36.0,183.0,78.0
11318,Denmark,Handball,Handball Women's Handball,Gold,23.0,176.0,70.0
11319,Denmark,Football,Football Men's Football,Bronze,27.0,178.0,76.0
11320,Denmark,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver,32.0,174.0,62.0
11321,Clearwater,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze,46.0,184.0,70.0
11322,East Germany,Gymnastics,Gymnastics Women's Team All-Around,Bronze,20.0,161.0,52.0
11323,South Korea,Weightlifting,Weightlifting Men's Flyweight,Silver,18.0,155.0,56.0
11324,South Korea,Weightlifting,Weightlifting Men's Bantamweight,Gold,22.0,155.0,56.0
11325,South Korea,Boxing,Boxing Men's Lightweight,Bronze,23.0,170.0,64.0
11326,South Korea,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Gold,22.0,170.0,63.0
11327,South Korea,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze,24.0,160.0,52.0
11328,South Korea,Fencing,"Fencing Women's Foil, Team",Bronze,28.0,169.0,60.0
11329,South Korea,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",Gold,18.0,163.0,54.0
11330,South Korea,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Gold,18.0,163.0,54.0
11331,South Korea,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Bronze,22.0,163.0,54.0
11332,South Korea,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",Gold,22.0,163.0,54.0
11333,South Korea,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Gold,22.0,163.0,54.0
11334,South Korea,Archery,Archery Men's Team,Gold,23.0,171.0,69.0
11335,South Korea,Hockey,Hockey Men's Hockey,Silver,21.0,177.0,74.0
11336,South Korea,Hockey,Hockey Men's Hockey,Silver,27.0,178.0,75.0
11337,South Korea,Judo,Judo Women's Extra-Lightweight,Silver,25.0,153.0,51.0
11338,South Korea,Judo,Judo Men's Extra-Lightweight,Silver,22.0,173.0,60.0
11339,South Korea,Baseball,Baseball Men's Baseball,Bronze,21.0,185.0,98.0
11340,South Korea,Baseball,Baseball Men's Baseball,Gold,29.0,185.0,98.0
11341,South Korea,Hockey,Hockey Women's Hockey,Silver,23.0,163.0,62.0
11342,South Korea,Baseball,Baseball Men's Baseball,Gold,25.0,174.0,75.0
11343,South Korea,Fencing,"Fencing Women's Foil, Team",Bronze,31.0,168.0,56.0
11344,South Korea-1,Badminton,Badminton Women's Doubles,Bronze,26.0,172.0,59.0
11345,South Korea,Judo,Judo Women's Half-Heavyweight,Bronze,23.0,169.0,78.0
11346,South Korea,Handball,Handball Women's Handball,Silver,20.0,164.0,57.0
11347,South Korea,Fencing,"Fencing Women's epee, Team",Silver,28.0,168.0,64.0
11348,South Korea-1,Badminton,Badminton Men's Doubles,Bronze,29.0,168.0,69.0
11349,South Korea,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold,21.0,165.0,60.0
11350,South Korea,Fencing,"Fencing Men's epee, Individual",Bronze,28.0,185.0,83.0
11351,South Korea,Baseball,Baseball Men's Baseball,Bronze,30.0,183.0,90.0
11352,South Korea,Basketball,Basketball Women's Basketball,Silver,20.0,180.0,68.0
11353,South Korea,Hockey,Hockey Women's Hockey,Silver,25.0,162.0,53.0
11354,South Korea,Football,Football Men's Football,Bronze,27.0,190.0,88.0
11355,South Korea,Judo,Judo Women's Half-Middleweight,Bronze,24.0,165.0,63.0
11356,South Korea,Judo,Judo Women's Half-Middleweight,Bronze,28.0,165.0,63.0
11357,South Korea,Boxing,Boxing Men's Bantamweight,Silver,24.0,162.0,51.0
11358,South Korea,Baseball,Baseball Men's Baseball,Bronze,23.0,178.0,67.0
11359,South Korea,Handball,Handball Women's Handball,Silver,23.0,168.0,55.0
11360,South Korea,Volleyball,Volleyball Women's Volleyball,Bronze,21.0,173.0,68.0
11361,South Korea,Football,Football Men's Football,Bronze,22.0,186.0,78.0
