,Age,Height,Weight
816,23.0,190.0,86.0
817,28.0,191.0,110.0
818,32.0,191.0,110.0
819,17.0,176.0,45.0
820,20.0,177.0,82.0
821,23.0,184.0,84.0
822,27.0,184.0,84.0
823,28.0,171.0,62.0
824,28.0,171.0,62.0
825,32.0,171.0,62.0
826,32.0,171.0,62.0
827,27.0,172.0,72.0
828,31.0,172.0,72.0
829,20.0,159.0,55.0
830,25.0,166.0,61.0
831,18.0,167.0,55.0
832,18.0,167.0,55.0
833,24.0,179.0,78.0
834,27.0,179.0,68.0
835,26.0,173.0,74.0
836,24.0,191.0,75.0
837,20.0,184.0,69.0
838,24.0,184.0,69.0
839,24.0,184.0,69.0
840,28.0,184.0,69.0
841,28.0,184.0,69.0
842,26.0,180.0,70.0
843,22.0,190.0,99.0
844,26.0,190.0,99.0
845,26.0,190.0,99.0
846,28.0,190.0,99.0
847,28.0,190.0,99.0
848,24.0,200.0,104.0
849,28.0,200.0,104.0
850,32.0,200.0,104.0
851,24.0,180.0,83.0
852,18.0,169.0,52.0
853,22.0,175.0,74.0
854,26.0,180.0,81.0
855,30.0,180.0,81.0
856,26.0,173.0,73.0
857,30.0,173.0,73.0
858,30.0,173.0,73.0
859,29.0,160.0,62.0
860,20.0,168.0,72.0
861,22.0,185.0,61.0
862,20.0,180.0,73.0
863,20.0,180.0,73.0
864,27.0,164.0,63.0
865,31.0,164.0,63.0
866,24.0,172.0,69.0
867,23.0,188.0,91.0
868,20.0,188.0,78.0
869,16.0,190.0,62.0
870,25.0,182.0,70.0
871,20.0,184.0,70.0
872,29.0,188.0,82.0
873,22.0,177.0,82.0
874,26.0,177.0,82.0
875,21.0,178.0,72.0
876,20.0,168.0,63.0
877,20.0,168.0,63.0
878,20.0,168.0,63.0
879,24.0,168.0,63.0
880,21.0,188.0,66.0
881,25.0,188.0,66.0
882,29.0,188.0,66.0
883,33.0,188.0,66.0
884,37.0,188.0,66.0
885,18.0,192.0,89.0
886,22.0,192.0,89.0
887,24.0,173.0,50.0
888,25.0,208.0,109.0
889,23.0,177.0,75.0
890,23.0,162.0,60.0
891,19.0,156.0,56.0
892,23.0,156.0,56.0
893,22.0,179.0,60.0
894,29.0,162.0,51.0
895,25.0,165.0,58.0
896,21.0,172.0,67.0
897,26.0,168.0,67.0
898,28.0,156.0,51.0
899,21.0,187.0,81.0
900,21.0,187.0,81.0
901,23.0,186.0,100.0
902,27.0,186.0,100.0
903,25.0,189.0,105.0
904,20.0,162.0,60.0
905,20.0,202.0,105.0
906,22.0,190.0,80.0
907,23.0,180.0,71.0
908,27.0,178.0,79.0
909,25.0,187.0,83.0
910,29.0,187.0,83.0
911,27.0,172.0,70.0
912,23.0,162.0,54.0
913,24.0,182.0,82.0
914,24.0,182.0,82.0
915,33.0,182.0,82.0
916,20.0,183.0,85.0
917,24.0,183.0,85.0
918,24.0,175.0,95.0
919,19.0,173.0,71.0
920,19.0,173.0,71.0
921,23.0,173.0,71.0
922,23.0,173.0,71.0
923,35.0,175.0,80.0
924,38.0,175.0,80.0
925,18.0,169.0,61.0
926,30.0,154.0,64.0
927,32.0,175.0,82.0
928,32.0,175.0,82.0
929,31.0,175.0,73.0
930,30.0,187.0,77.0
931,22.0,179.0,78.0
932,21.0,173.0,80.0
933,25.0,173.0,80.0
934,26.0,190.0,83.0
935,26.0,190.0,83.0
936,29.0,184.0,77.0
937,33.0,184.0,77.0
938,20.0,187.0,87.0
939,20.0,187.0,87.0
940,18.0,160.0,52.0
941,24.0,173.0,62.0
942,24.0,173.0,62.0
943,28.0,173.0,62.0
944,28.0,173.0,62.0
945,28.0,173.0,62.0
946,21.0,176.0,74.0
947,25.0,176.0,74.0
948,29.0,176.0,74.0
949,26.0,171.0,69.5
950,30.0,171.0,69.5
951,32.0,172.0,68.0
952,23.0,175.0,71.0
953,23.0,190.0,80.0
954,14.0,172.0,72.0
955,25.0,173.0,64.0
956,25.0,173.0,64.0
957,25.0,173.0,64.0
958,25.0,173.0,64.0
959,29.0,173.0,64.0
960,29.0,173.0,64.0
961,29.0,173.0,64.0
962,29.0,173.0,64.0
963,29.0,163.0,54.0
964,26.0,177.0,70.0
965,16.0,165.0,54.0
966,16.0,165.0,54.0
967,23.0,180.0,79.0
968,23.0,180.0,79.0
969,23.0,180.0,79.0
970,27.0,180.0,79.0
971,22.0,188.0,78.0
972,22.0,188.0,78.0
973,27.0,183.0,67.0
974,20.0,173.0,65.0
975,24.0,173.0,65.0
976,30.0,188.0,79.0
977,26.0,169.0,68.0
978,38.0,177.0,70.0
979,38.0,177.0,70.0
980,24.0,178.0,95.0
981,22.0,167.0,75.0
982,29.0,178.0,64.0
983,27.0,189.0,70.0
984,31.0,189.0,70.0
985,35.0,189.0,70.0
986,23.0,194.0,87.0
987,26.0,174.0,73.0
988,38.0,169.0,68.0
989,21.0,178.0,78.0
990,25.0,178.0,78.0
991,29.0,178.0,78.0
992,29.0,164.0,51.0
993,33.0,164.0,51.0
994,25.0,171.0,59.0
