,Age,Height,Weight,Anomalies
767,23.0,167.0,58.0,1
768,23.0,190.0,74.0,1
769,22.0,160.0,55.0,1
770,22.0,160.0,55.0,1
771,21.0,176.0,67.0,1
772,22.0,171.0,70.0,1
773,22.0,171.0,70.0,1
774,22.0,175.0,65.0,1
775,26.0,175.0,65.0,1
776,18.0,182.0,68.0,1
777,18.0,182.0,68.0,1
778,22.0,179.0,65.0,1
779,21.0,166.0,70.0,1
780,23.0,170.0,61.0,1
781,19.0,158.0,52.0,1
782,22.0,165.0,64.0,1
783,21.0,178.0,73.0,1
784,25.0,178.0,73.0,1
785,25.0,165.0,68.0,1
786,23.0,175.0,64.0,1
787,25.0,169.0,60.0,1
788,28.0,178.0,78.0,1
789,20.0,164.0,50.0,1
790,22.0,186.0,85.0,1
791,26.0,186.0,85.0,1
792,34.0,186.0,85.0,1
793,29.0,208.0,110.0,-1
794,28.0,180.0,68.0,1
795,25.0,161.0,62.0,1
796,23.0,163.0,54.0,1
797,18.0,181.0,73.0,1
798,24.0,176.0,75.0,1
799,16.0,168.0,60.0,1
800,25.0,167.0,52.0,1
801,29.0,165.0,54.0,1
802,23.0,174.0,57.0,1
803,27.0,174.0,57.0,1
804,31.0,174.0,57.0,1
805,25.0,188.0,75.0,1
806,41.0,182.0,98.0,-1
807,41.0,182.0,98.0,-1
808,23.0,183.0,87.0,1
809,25.0,168.0,63.0,1
810,30.0,168.0,63.0,1
811,30.0,168.0,63.0,1
812,24.0,167.0,52.0,1
813,19.0,168.0,55.0,1
814,23.0,168.0,55.0,1
815,19.0,190.0,86.0,1
816,23.0,190.0,86.0,1
817,28.0,191.0,110.0,1
818,32.0,191.0,110.0,-1
819,17.0,176.0,45.0,-1
820,20.0,177.0,82.0,1
821,23.0,184.0,84.0,1
822,27.0,184.0,84.0,1
823,28.0,171.0,62.0,1
824,28.0,171.0,62.0,1
825,32.0,171.0,62.0,1
826,32.0,171.0,62.0,1
827,27.0,172.0,72.0,1
828,31.0,172.0,72.0,1
829,20.0,159.0,55.0,1
830,25.0,166.0,61.0,1
831,18.0,167.0,55.0,1
832,18.0,167.0,55.0,1
833,24.0,179.0,78.0,1
834,27.0,179.0,68.0,1
835,26.0,173.0,74.0,1
836,24.0,191.0,75.0,1
837,20.0,184.0,69.0,1
838,24.0,184.0,69.0,1
839,24.0,184.0,69.0,1
840,28.0,184.0,69.0,1
841,28.0,184.0,69.0,1
842,26.0,180.0,70.0,1
843,22.0,190.0,99.0,1
844,26.0,190.0,99.0,1
845,26.0,190.0,99.0,1
846,28.0,190.0,99.0,1
847,28.0,190.0,99.0,1
848,24.0,200.0,104.0,-1
849,28.0,200.0,104.0,-1
850,32.0,200.0,104.0,-1
851,24.0,180.0,83.0,1
852,18.0,169.0,52.0,1
853,22.0,175.0,74.0,1
854,26.0,180.0,81.0,1
855,30.0,180.0,81.0,1
856,26.0,173.0,73.0,1
857,30.0,173.0,73.0,1
858,30.0,173.0,73.0,1
859,29.0,160.0,62.0,1
860,20.0,168.0,72.0,1
861,22.0,185.0,61.0,1
